County,White ,Black,Native,Asian,Hispanic,Other,Haw_PacIs,Two,Total Pop
Alamance,107420,28369,1020,1837,16639,15342,58,3136,151131
Alexander,33324,2043,98,360,1601,1831,12,523,37198
Alleghany,10288,140,27,54,1004,727,3,128,11155
Anson,12707,13090,165,288,812,1151,4,337,26948
Ashe,26050,161,65,105,1311,1070,8,279,27281
Avery,16364,709,75,56,797,724,8,150,17797
Beaufort,32551,12223,208,165,3166,2985,19,607,47759
Bertie,7488,13296,96,103,267,498,6,197,21282
Bladen,19806,12268,749,70,2502,3116,5,518,35190
Brunswick,89193,12291,761,579,5549,5947,38,1935,107431
Buncombe,208192,15211,948,2417,14254,14915,289,4995,238318
Burke,76716,6012,325,3185,4634,8184,303,1597,90912
Cabarrus,134149,27219,659,3513,16767,16643,65,3742,178011
Caldwell,74925,4086,257,428,3796,4018,27,1258,83029
Camden,8193,1316,33,146,215,471,5,213,9980
Carteret,59346,4041,316,580,2241,3082,67,1307,66469
Caswell,14819,8020,85,60,744,880,4,381,23719
Catawba,126151,13041,489,5352,13032,15166,53,2877,154358
Chatham,48237,8392,344,703,8228,6876,24,1186,63505
Cherokee,25700,350,363,132,688,1394,9,675,27444
Chowan,9174,5070,43,52,467,549,7,181,14793
Clay,10231,64,32,24,258,292,2,153,10587
Cleveland,74123,20332,232,756,2756,3623,24,1480,98078
Columbus,35735,17713,1845,154,2662,4650,27,874,58098
Craven,72441,23193,504,2099,6272,7871,135,2772,103505
Cumberland,164064,117117,5140,7090,30190,38250,1225,14852,319431
Currituck,21268,1361,107,148,704,918,11,429,23547
Dare,31313,834,125,212,2210,1773,13,613,33920
Davidson,137359,14421,794,1994,10408,11098,27,2412,162878
Davie,36100,2593,149,239,2496,2547,6,695,41240
Duplin,33449,14773,267,155,12059,10283,65,940,58505
Durham,124274,101577,1339,12278,36077,41736,172,6853,269974
Edgecombe,21923,32435,169,113,2104,2194,15,571,56552
Forsyth,218517,91227,1457,6495,41775,40926,223,7584,350670
Franklin,40003,16212,329,288,4776,4404,12,1109,60619
Gaston,161166,31431,850,2478,12201,13489,63,3783,206086
Gates,7768,4044,65,17,173,385,10,220,12197
Graham,8004,17,566,29,194,840,4,150,8861
Granville,36205,19652,338,326,4482,4059,34,1038,57529
Greene,10850,7964,154,72,3054,2548,6,314,21362
Guilford,278525,158899,2594,19176,34826,50982,235,11302,488406
Halifax,21890,29109,2071,362,1152,3692,19,659,54691
Harnett,78300,23973,1392,1029,12359,12405,139,3573,114678
Haywood,56405,624,303,215,1999,2007,15,630,59036
Henderson,94914,3224,449,1022,10424,8602,178,2019,106740
Hertford,8786,14933,274,131,644,950,5,305,24669
Hoke,21272,15716,4512,484,5823,9964,117,2108,46952
Hyde,3718,1836,28,16,411,256,1,69,5810
Iredell,128646,19047,547,2922,10844,11744,43,2884,159437
Jackson,33489,745,3804,348,2038,6037,16,782,40271
Johnston,125349,25546,939,1021,21814,17983,51,3319,168878
Jones,6395,3289,57,32,398,469,2,188,10153
Lee,38688,11565,407,489,10576,7613,20,1411,57866
Lenoir,31758,24121,222,262,3917,3616,48,785,59495
Lincoln,69940,4340,250,421,5238,3985,17,1219,78265
Macon,31811,447,165,208,2230,1664,4,382,33922
Madison,20035,240,48,70,423,489,8,269,20764
Martin,13019,10651,73,71,769,835,10,247,24505
McDowell,40754,1708,189,351,2392,2534,1,551,44996
Mecklenburg,508946,282804,4261,42352,111944,127878,668,23484,919628
Mitchell,14844,58,65,50,631,677,1,164,15579
Montgomery,19162,5231,120,441,3926,3405,3,402,27798
Moore,70913,11839,732,754,5261,5495,64,1519,88247
Nash,53531,35650,657,747,6015,6659,19,1559,95840
New Hanover,160298,29907,1005,2410,10716,12462,130,4065,202667
Northampton,8668,12895,101,39,305,536,2,213,22099
Onslow,131590,27672,1238,3355,17896,18510,487,7751,177772
Orange,99495,15928,570,9023,11017,18378,41,3403,133801
Pamlico,10032,2632,77,50,412,480,11,179,13144
Pasquotank,23059,15355,141,454,1642,2247,19,896,40661
Pender,39756,9269,291,207,3194,3192,18,934,52217
Perquimans,9694,3347,41,38,286,412,2,174,13453
Person,26968,10646,266,116,1593,1850,4,596,39464
Pitt,99075,57257,582,2613,9202,11816,97,3388,168148
Polk,18633,918,72,68,1122,959,2,289,20510
Randolph,121169,8176,952,1431,14698,12407,33,2430,141752
Richmond,28072,14269,1173,431,2741,4298,26,968,46639
Robeson,38877,32637,51502,993,10932,62654,86,3401,134168
Rockingham,70875,17655,345,430,5159,5113,60,1670,93643
Rowan,105923,22392,468,1386,10644,10113,49,2217,138428
Rutherford,58221,6854,171,296,2397,2735,5,1229,67810
Sampson,35985,17128,1297,242,10440,10318,72,1277,63431
Scotland,16822,13943,3934,276,754,5392,8,789,36157
Stanly,50623,6630,197,1118,2166,3332,42,704,60585
Stokes,44021,1916,156,125,1254,1464,7,587,47401
Surry,64926,2749,219,347,7155,5998,18,1004,73673
Swain,9315,76,3775,67,540,4590,4,594,13981
Transylvania,30577,1292,95,144,964,1221,8,559,33090
Tyrrell,2403,1683,17,80,240,321,1,62,4407
Union,158954,23558,815,3271,20967,18780,63,3871,201292
Vance,20058,22645,147,202,3051,2719,7,609,45422
Wake,597546,186510,4503,48553,87922,116937,387,22566,900993
Warren,8128,10970,1050,51,692,1874,3,342,20972
Washington,6084,6587,24,38,466,557,1,154,13228
Watauga,48272,877,129,475,1713,1930,13,716,51079
Wayne,72135,38499,481,1431,12162,11989,64,2824,122623
Wilkes,62824,2830,133,296,3772,3686,20,925,69340
Wilson,42222,31686,238,668,7724,7326,25,1273,81234
Yadkin,34007,1192,79,78,3749,3207,12,478,38406
Yancey,16967,145,79,34,814,706,5,168,17818
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
