County Name,Year,White ,Black Pop,Native,Asian,Hispanic,Other,Haw_PacIs,Two,Total Pop
Alamance County,2010,"107,420","28,369","1,020","1,837","16,639","15,342",58,"3,136","151,131"
Alexander County,2010,"33,324","2,043",98,360,"1,601","1,831",12,523,"37,198"
Alleghany County,2010,"10,288",140,27,54,"1,004",727,3,128,"11,155"
Anson County,2010,"12,707","13,090",165,288,812,"1,151",4,337,"26,948"
Ashe County,2010,"26,050",161,65,105,"1,311","1,070",8,279,"27,281"
Avery County,2010,"16,364",709,75,56,797,724,8,150,"17,797"
Beaufort County,2010,"32,551","12,223",208,165,"3,166","2,985",19,607,"47,759"
Bertie County,2010,"7,488","13,296",96,103,267,498,6,197,"21,282"
Bladen County,2010,"19,806","12,268",749,70,"2,502","3,116",5,518,"35,190"
Brunswick County,2010,"89,193","12,291",761,579,"5,549","5,947",38,"1,935","107,431"
Buncombe County,2010,"208,192","15,211",948,"2,417","14,254","14,915",289,"4,995","238,318"
Burke County,2010,"76,716","6,012",325,"3,185","4,634","8,184",303,"1,597","90,912"
Cabarrus County,2010,"134,149","27,219",659,"3,513","16,767","16,643",65,"3,742","178,011"
Caldwell County,2010,"74,925","4,086",257,428,"3,796","4,018",27,"1,258","83,029"
Camden County,2010,"8,193","1,316",33,146,215,471,5,213,"9,980"
Carteret County,2010,"59,346","4,041",316,580,"2,241","3,082",67,"1,307","66,469"
Caswell County,2010,"14,819","8,020",85,60,744,880,4,381,"23,719"
Catawba County,2010,"126,151","13,041",489,"5,352","13,032","15,166",53,"2,877","154,358"
Chatham County,2010,"48,237","8,392",344,703,"8,228","6,876",24,"1,186","63,505"
Cherokee County,2010,"25,700",350,363,132,688,"1,394",9,675,"27,444"
Chowan County,2010,"9,174","5,070",43,52,467,549,7,181,"14,793"
Clay County,2010,"10,231",64,32,24,258,292,2,153,"10,587"
Cleveland County,2010,"74,123","20,332",232,756,"2,756","3,623",24,"1,480","98,078"
Columbus County,2010,"35,735","17,713","1,845",154,"2,662","4,650",27,874,"58,098"
Craven County,2010,"72,441","23,193",504,"2,099","6,272","7,871",135,"2,772","103,505"
Cumberland County,2010,"164,064","117,117","5,140","7,090","30,190","38,250","1,225","14,852","319,431"
Currituck County,2010,"21,268","1,361",107,148,704,918,11,429,"23,547"
Dare County,2010,"31,313",834,125,212,"2,210","1,773",13,613,"33,920"
Davidson County,2010,"137,359","14,421",794,"1,994","10,408","11,098",27,"2,412","162,878"
Davie County,2010,"36,100","2,593",149,239,"2,496","2,547",6,695,"41,240"
Duplin County,2010,"33,449","14,773",267,155,"12,059","10,283",65,940,"58,505"
Durham County,2010,"124,274","101,577","1,339","12,278","36,077","41,736",172,"6,853","269,974"
Edgecombe County,2010,"21,923","32,435",169,113,"2,104","2,194",15,571,"56,552"
Forsyth County,2010,"218,517","91,227","1,457","6,495","41,775","40,926",223,"7,584","350,670"
Franklin County,2010,"40,003","16,212",329,288,"4,776","4,404",12,"1,109","60,619"
Gaston County,2010,"161,166","31,431",850,"2,478","12,201","13,489",63,"3,783","206,086"
Gates County,2010,"7,768","4,044",65,17,173,385,10,220,"12,197"
Graham County,2010,"8,004",17,566,29,194,840,4,150,"8,861"
Granville County,2010,"36,205","19,652",338,326,"4,482","4,059",34,"1,038","57,529"
Greene County,2010,"10,850","7,964",154,72,"3,054","2,548",6,314,"21,362"
Guilford County,2010,"278,525","158,899","2,594","19,176","34,826","50,982",235,"11,302","488,406"
Halifax County,2010,"21,890","29,109","2,071",362,"1,152","3,692",19,659,"54,691"
Harnett County,2010,"78,300","23,973","1,392","1,029","12,359","12,405",139,"3,573","114,678"
Haywood County,2010,"56,405",624,303,215,"1,999","2,007",15,630,"59,036"
Henderson County,2010,"94,914","3,224",449,"1,022","10,424","8,602",178,"2,019","106,740"
Hertford County,2010,"8,786","14,933",274,131,644,950,5,305,"24,669"
Hoke County,2010,"21,272","15,716","4,512",484,"5,823","9,964",117,"2,108","46,952"
Hyde County,2010,"3,718","1,836",28,16,411,256,1,69,"5,810"
Iredell County,2010,"128,646","19,047",547,"2,922","10,844","11,744",43,"2,884","159,437"
Jackson County,2010,"33,489",745,"3,804",348,"2,038","6,037",16,782,"40,271"
Johnston County,2010,"125,349","25,546",939,"1,021","21,814","17,983",51,"3,319","168,878"
Jones County,2010,"6,395","3,289",57,32,398,469,2,188,"10,153"
Lee County,2010,"38,688","11,565",407,489,"10,576","7,613",20,"1,411","57,866"
Lenoir County,2010,"31,758","24,121",222,262,"3,917","3,616",48,785,"59,495"
Lincoln County,2010,"69,940","4,340",250,421,"5,238","3,985",17,"1,219","78,265"
Macon County,2010,"31,811",447,165,208,"2,230","1,664",4,382,"33,922"
Madison County,2010,"20,035",240,48,70,423,489,8,269,"20,764"
Martin County,2010,"13,019","10,651",73,71,769,835,10,247,"24,505"
McDowell County,2010,"40,754","1,708",189,351,"2,392","2,534",1,551,"44,996"
Mecklenburg County,2010,"508,946","282,804","4,261","42,352","111,944","127,878",668,"23,484","919,628"
Mitchell County,2010,"14,844",58,65,50,631,677,1,164,"15,579"
Montgomery County,2010,"19,162","5,231",120,441,"3,926","3,405",3,402,"27,798"
Moore County,2010,"70,913","11,839",732,754,"5,261","5,495",64,"1,519","88,247"
Nash County,2010,"53,531","35,650",657,747,"6,015","6,659",19,"1,559","95,840"
New Hanover County,2010,"160,298","29,907","1,005","2,410","10,716","12,462",130,"4,065","202,667"
Northampton County,2010,"8,668","12,895",101,39,305,536,2,213,"22,099"
Onslow County,2010,"131,590","27,672","1,238","3,355","17,896","18,510",487,"7,751","177,772"
Orange County,2010,"99,495","15,928",570,"9,023","11,017","18,378",41,"3,403","133,801"
Pamlico County,2010,"10,032","2,632",77,50,412,480,11,179,"13,144"
Pasquotank County,2010,"23,059","15,355",141,454,"1,642","2,247",19,896,"40,661"
Pender County,2010,"39,756","9,269",291,207,"3,194","3,192",18,934,"52,217"
Perquimans County,2010,"9,694","3,347",41,38,286,412,2,174,"13,453"
Person County,2010,"26,968","10,646",266,116,"1,593","1,850",4,596,"39,464"
Pitt County,2010,"99,075","57,257",582,"2,613","9,202","11,816",97,"3,388","168,148"
Polk County,2010,"18,633",918,72,68,"1,122",959,2,289,"20,510"
Randolph County,2010,"121,169","8,176",952,"1,431","14,698","12,407",33,"2,430","141,752"
Richmond County,2010,"28,072","14,269","1,173",431,"2,741","4,298",26,968,"46,639"
Robeson County,2010,"38,877","32,637","51,502",993,"10,932","62,654",86,"3,401","134,168"
Rockingham County,2010,"70,875","17,655",345,430,"5,159","5,113",60,"1,670","93,643"
Rowan County,2010,"105,923","22,392",468,"1,386","10,644","10,113",49,"2,217","138,428"
Rutherford County,2010,"58,221","6,854",171,296,"2,397","2,735",5,"1,229","67,810"
Sampson County,2010,"35,985","17,128","1,297",242,"10,440","10,318",72,"1,277","63,431"
Scotland County,2010,"16,822","13,943","3,934",276,754,"5,392",8,789,"36,157"
Stanly County,2010,"50,623","6,630",197,"1,118","2,166","3,332",42,704,"60,585"
Stokes County,2010,"44,021","1,916",156,125,"1,254","1,464",7,587,"47,401"
Surry County,2010,"64,926","2,749",219,347,"7,155","5,998",18,"1,004","73,673"
Swain County,2010,"9,315",76,"3,775",67,540,"4,590",4,594,"13,981"
Transylvania County,2010,"30,577","1,292",95,144,964,"1,221",8,559,"33,090"
Tyrrell County,2010,"2,403","1,683",17,80,240,321,1,62,"4,407"
Union County,2010,"158,954","23,558",815,"3,271","20,967","18,780",63,"3,871","201,292"
Vance County,2010,"20,058","22,645",147,202,"3,051","2,719",7,609,"45,422"
Wake County,2010,"597,546","186,510","4,503","48,553","87,922","116,937",387,"22,566","900,993"
Warren County,2010,"8,128","10,970","1,050",51,692,"1,874",3,342,"20,972"
Washington County,2010,"6,084","6,587",24,38,466,557,1,154,"13,228"
Watauga County,2010,"48,272",877,129,475,"1,713","1,930",13,716,"51,079"
Wayne County,2010,"72,135","38,499",481,"1,431","12,162","11,989",64,"2,824","122,623"
Wilkes County,2010,"62,824","2,830",133,296,"3,772","3,686",20,925,"69,340"
Wilson County,2010,"42,222","31,686",238,668,"7,724","7,326",25,"1,273","81,234"
Yadkin County,2010,"34,007","1,192",79,78,"3,749","3,207",12,478,"38,406"
Yancey County,2010,"16,967",145,79,34,814,706,5,168,"17,818"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
